"Sort
order","Major area, region, country or area of destination",Notes,Country code,Type of data (a),Total,Total,Total,Total,Total,Total
221,Chile,,152,B,  107 501,  142 417,  177 332,  273 384,  369 436,  469 436
222,Colombia,,170,B,  104 277,  106 943,  109 609,  107 612,  124 271,  133 134
223,Ecuador,,218,B R,  78 663,  115 093,  151 523,  187 404,  325 366,  387 513
224,Falkland Islands (Malvinas),,238,B,   855,   868,  1 067,  1 166,  1 436,  1 571
225,French Guiana,,254,B,  63 612,  70 131,  76 649,  86 468,  96 288,  106 108
226,Guyana,,328,B,  4 095,  6 352,  8 610,  10 868,  13 126,  15 384
227,Paraguay,,600,B,  195 884,  186 570,  176 608,  168 243,  160 299,  156 462
228,Peru,,604,B,  65 025,  56 732,  66 293,  77 541,  84 066,  90 881
229,Suriname,,740,C,  18 031,  22 270,  27 506,  33 664,  39 713,  46 836
230,Uruguay,,858,B,  98 116,  93 428,  88 871,  82 318,  76 263,  71 799
231,Venezuela (Bolivarian Republic of),,862,B, 1 025 009, 1 019 996, 1 013 663, 1 070 562, 1 331 488, 1 404 448
232,Northern America,,905,, 27 610 542, 33 341 147, 40 351 848, 45 363 387, 51 220 996, 54 488 725
233,Bermuda,,60,B,  15 683,  16 676,  17 668,  18 276,  18 884,  19 126
234,Canada,,124,B, 4 333 318, 4 864 778, 5 511 914, 6 078 985, 7 011 226, 7 835 502
235,Greenland,,304,B,  9 416,  7 320,  6 755,  6 686,  6 226,  6 009
236,Saint Pierre and Miquelon,,666,B,  1 099,  1 320,  1 458,  1 147,  1 017,   986
237,United States of America,,840,B, 23 251 026, 28 451 053, 34 814 053, 39 258 293, 44 183 643, 46 627 102
238,Oceania,,909,, 4 730 858, 5 022 263, 5 360 027, 6 023 421, 7 125 364, 8 100 886
239,Australia and New Zealand,,927,, 4 473 260, 4 741 947, 5 065 063, 5 717 982, 6 830 423, 7 803 399
240,Australia,(22),36,B, 3 955 213, 4 153 330, 4 386 250, 4 878 030, 5 882 980, 6 763 663
241,New Zealand,,554,B,  518 047,  588 617,  678 813,  839 952,  947 443, 1 039 736
242,Melanesia,,928,,  90 210,  96 828,  94 078,  103 878,  105 684,  109 595
243,Fiji,,242,B,  13 283,  13 001,  12 719,  12 435,  13 351,  13 751
244,New Caledonia,,540,B,  37 673,  43 662,  49 651,  55 405,  61 158,  64 290
245,Papua New Guinea,,598,C R,  32 720,  33 526,  25 101,  29 967,  25 424,  25 782
246,Solomon Islands,,90,B,  4 226,  4 178,  3 981,  3 271,  2 760,  2 585
247,Vanuatu,,548,B,  2 308,  2 461,  2 626,  2 800,  2 991,  3 187
248,Micronesia,,954,,  108 969,  118 687,  130 186,  128 390,  116 245,  115 772
249,Guam,,316,B,  69 755,  71 912,  74 070,  74 743,  75 416,  76 089
250,Kiribati,,296,B,  2 162,  2 223,  2 283,  2 487,  2 868,  3 153
251,Marshall Islands,,584,B,  1 158,  1 480,  1 891,  2 417,  3 089,  3 284
252,Micronesia (Federated States of),,583,B,  3 685,  3 342,  3 116,  2 905,  2 805,  2 756
253,Nauru,,520,C,  2 815,  2 605,  2 394,  2 253,  2 112,  3 178
254,Northern Mariana Islands,,580,B,  26 593,  32 376,  40 122,  37 542,  24 168,  21 648
255,Palau,,585,B,  2 801,  4 749,  6 310,  6 043,  5 787,  5 664
256,Polynesia,,957,,  58 419,  64 801,  70 700,  73 171,  73 012,  72 120
257,American Samoa,,16,B,  21 283,  23 098,  24 912,  24 233,  23 555,  23 216
258,Cook Islands,,184,B,  2 587,  2 686,  2 785,  3 277,  3 769,  4 152
259,French Polynesia,,258,B,  25 830,  28 360,  30 329,  32 286,  31 640,  30 058
260,Niue,,570,B,   461,   480,   498,   522,   545,   557
261,Samoa,,882,B,  3 357,  4 694,  5 998,  5 746,  5 122,  4 929
262,Tokelau,,772,B,   270,   266,   262,   258,   429,   487
263,Tonga,,776,B,  2 911,  3 274,  3 684,  4 301,  5 022,  5 731
264,Tuvalu,,798,C,   318,   263,   217,   183,   154,   141
265,Wallis and Futuna Islands,,876,B,  1 402,  1 680,  2 015,  2 365,  2 776,  2 849
