DATE,USPBS
11/1/2014,19339
12/1/2014,19418
1/1/2015,19442
2/1/2015,19487
3/1/2015,19513
4/1/2015,19557
5/1/2015,19638
6/1/2015,19689
7/1/2015,19726
8/1/2015,19755
9/1/2015,19778
10/1/2015,19851
11/1/2015,19885
12/1/2015,19955
1/1/2016,19953
2/1/2016,19968
3/1/2016,19998
4/1/2016,20030
5/1/2016,20038
6/1/2016,20081
7/1/2016,20125
8/1/2016,20131
9/1/2016,20198
10/1/2016,20216
11/1/2016,20253
12/1/2016,20288
1/1/2017,20338
2/1/2017,20347
3/1/2017,20376
4/1/2017,20406
5/1/2017,20463
6/1/2017,20498
7/1/2017,20540
8/1/2017,20568
9/1/2017,20571
10/1/2017,20619
11/1/2017,20649
12/1/2017,20683
1/1/2018,20738
2/1/2018,20781
3/1/2018,20823
4/1/2018,20868
5/1/2018,20914
6/1/2018,20948
7/1/2018,20968
8/1/2018,21009
9/1/2018,21042
10/1/2018,21079
11/1/2018,21102
12/1/2018,21128
1/1/2019,21126
2/1/2019,21164
3/1/2019,21176
4/1/2019,21226
5/1/2019,21253
6/1/2019,21294
7/1/2019,21337
8/1/2019,21377
9/1/2019,21402
10/1/2019,21444
11/1/2019,21481
12/1/2019,21503
1/1/2020,21523
2/1/2020,21550
3/1/2020,21456
4/1/2020,19254
5/1/2020,19414
6/1/2020,19725
7/1/2020,19887
8/1/2020,20071
9/1/2020,20193
10/1/2020,20401
