DATE,USGOOD
9/1/2001,23537
10/1/2001,23378
11/1/2001,23209
12/1/2001,23094
1/1/2002,22961
2/1/2002,22876
3/1/2002,22786
4/1/2002,22689
5/1/2002,22604
6/1/2002,22578
7/1/2002,22521
8/1/2002,22449
9/1/2002,22397
10/1/2002,22325
11/1/2002,22282
12/1/2002,22189
1/1/2003,22146
2/1/2003,22023
3/1/2003,21945
4/1/2003,21864
5/1/2003,21832
6/1/2003,21788
7/1/2003,21708
8/1/2003,21706
9/1/2003,21700
10/1/2003,21691
11/1/2003,21688
12/1/2003,21703
1/1/2004,21715
2/1/2004,21693
3/1/2004,21758
4/1/2004,21802
5/1/2004,21881
6/1/2004,21885
7/1/2004,21900
8/1/2004,21944
9/1/2004,21957
10/1/2004,22004
11/1/2004,21997
12/1/2004,22005
1/1/2005,21958
2/1/2005,22036
3/1/2005,22066
4/1/2005,22136
5/1/2005,22172
6/1/2005,22185
7/1/2005,22205
8/1/2005,22228
9/1/2005,22226
10/1/2005,22292
11/1/2005,22357
12/1/2005,22376
1/1/2006,22467
2/1/2006,22535
3/1/2006,22572
4/1/2006,22631
5/1/2006,22597
6/1/2006,22598
7/1/2006,22590
8/1/2006,22572
9/1/2006,22537
10/1/2006,22456
11/1/2006,22408
12/1/2006,22405
1/1/2007,22439
2/1/2007,22334
3/1/2007,22391
4/1/2007,22350
5/1/2007,22323
6/1/2007,22323
7/1/2007,22277
8/1/2007,22165
9/1/2007,22093
10/1/2007,22056
11/1/2007,22015
12/1/2007,21976
1/1/2008,21947
2/1/2008,21897
3/1/2008,21820
4/1/2008,21681
5/1/2008,21599
6/1/2008,21483
7/1/2008,21360
8/1/2008,21250
9/1/2008,21101
10/1/2008,20895
11/1/2008,20623
12/1/2008,20322
1/1/2009,19889
2/1/2009,19575
3/1/2009,19227
4/1/2009,18894
5/1/2009,18655
6/1/2009,18422
7/1/2009,18278
8/1/2009,18151
9/1/2009,18043
10/1/2009,17915
11/1/2009,17869
12/1/2009,17792
1/1/2010,17707
2/1/2010,17627
3/1/2010,17672
4/1/2010,17729
5/1/2010,17742
6/1/2010,17763
7/1/2010,17777
8/1/2010,17793
9/1/2010,17787
10/1/2010,17801
11/1/2010,17827
12/1/2010,17796
1/1/2011,17784
2/1/2011,17844
3/1/2011,17906
4/1/2011,17957
5/1/2011,18007
6/1/2011,18045
7/1/2011,18094
8/1/2011,18120
9/1/2011,18167
10/1/2011,18188
11/1/2011,18187
12/1/2011,18244
1/1/2012,18304
2/1/2012,18334
3/1/2012,18372
4/1/2012,18384
5/1/2012,18386
6/1/2012,18411
7/1/2012,18447
8/1/2012,18459
9/1/2012,18461
10/1/2012,18472
11/1/2012,18477
12/1/2012,18532
1/1/2013,18580
2/1/2013,18638
3/1/2013,18660
4/1/2013,18653
5/1/2013,18691
6/1/2013,18724
7/1/2013,18705
8/1/2013,18756
9/1/2013,18810
10/1/2013,18857
11/1/2013,18911
12/1/2013,18881
1/1/2014,18937
2/1/2014,18988
3/1/2014,19037
4/1/2014,19104
5/1/2014,19142
6/1/2014,19195
7/1/2014,19264
8/1/2014,19316
9/1/2014,19371
10/1/2014,19419
11/1/2014,19456
12/1/2014,19481
1/1/2015,19500
2/1/2015,19537
3/1/2015,19505
4/1/2015,19553
5/1/2015,19580
6/1/2015,19591
7/1/2015,19626
