DATE,SRVPRD
6/1/2006,113727
7/1/2006,113930
8/1/2006,114122
9/1/2006,114306
10/1/2006,114396
11/1/2006,114655
12/1/2006,114844
1/1/2007,115038
2/1/2007,115224
3/1/2007,115402
4/1/2007,115492
5/1/2007,115670
6/1/2007,115746
7/1/2007,115761
8/1/2007,115850
9/1/2007,116002
10/1/2007,116118
11/1/2007,116269
12/1/2007,116416
1/1/2008,116456
2/1/2008,116427
3/1/2008,116455
4/1/2008,116354
5/1/2008,116259
6/1/2008,116204
7/1/2008,116131
8/1/2008,115963
9/1/2008,115652
10/1/2008,115377
11/1/2008,114922
12/1/2008,114517
1/1/2009,114166
2/1/2009,113737
3/1/2009,113285
4/1/2009,112923
5/1/2009,112820
6/1/2009,112586
7/1/2009,112390
8/1/2009,112334
9/1/2009,112201
10/1/2009,112130
11/1/2009,112188
12/1/2009,111996
1/1/2010,112083
2/1/2010,112071
3/1/2010,112207
4/1/2010,112381
5/1/2010,112908
6/1/2010,112748
7/1/2010,112650
8/1/2010,112629
9/1/2010,112570
10/1/2010,112824
11/1/2010,112923
12/1/2010,113026
1/1/2011,113057
2/1/2011,113209
3/1/2011,113382
4/1/2011,113645
5/1/2011,113696
6/1/2011,113894
7/1/2011,113905
8/1/2011,114005
9/1/2011,114191
10/1/2011,114374
11/1/2011,114507
12/1/2011,114652
1/1/2012,114946
2/1/2012,115178
3/1/2012,115380
4/1/2012,115450
5/1/2012,115548
6/1/2012,115596
7/1/2012,115712
8/1/2012,115872
9/1/2012,116057
10/1/2012,116205
11/1/2012,116356
12/1/2012,116540
1/1/2013,116683
2/1/2013,116903
3/1/2013,117020
4/1/2013,117218
5/1/2013,117402
6/1/2013,117550
7/1/2013,117681
8/1/2013,117872
9/1/2013,118005
10/1/2013,118183
11/1/2013,118393
12/1/2013,118492
1/1/2014,118611
2/1/2014,118726
3/1/2014,118931
4/1/2014,119189
5/1/2014,119369
6/1/2014,119642
7/1/2014,119805
8/1/2014,119941
9/1/2014,120195
10/1/2014,120399
11/1/2014,120653
12/1/2014,120896
1/1/2015,121068
2/1/2015,121302
3/1/2015,121405
4/1/2015,121641
5/1/2015,121945
6/1/2015,122108
7/1/2015,122375
8/1/2015,122497
9/1/2015,122640
10/1/2015,122907
11/1/2015,123113
12/1/2015,123359
1/1/2016,123440
2/1/2016,123705
3/1/2016,123946
4/1/2016,124121
5/1/2016,124202
6/1/2016,124449
7/1/2016,124755
8/1/2016,124915
9/1/2016,125154
10/1/2016,125272
11/1/2016,125404
12/1/2016,125617
1/1/2017,125762
2/1/2017,125887
3/1/2017,125980
4/1/2017,126156
5/1/2017,126289
6/1/2017,126462
7/1/2017,126671
8/1/2017,126776
9/1/2017,126768
10/1/2017,126990
11/1/2017,127148
12/1/2017,127225
1/1/2018,127301
2/1/2018,127584
3/1/2018,127724
4/1/2018,127814
5/1/2018,128021
6/1/2018,128190
7/1/2018,128285
8/1/2018,128477
9/1/2018,128514
10/1/2018,128665
11/1/2018,128786
12/1/2018,128917
1/1/2019,129111
2/1/2019,129141
3/1/2019,129271
4/1/2019,129453
5/1/2019,129527
6/1/2019,129683
7/1/2019,129868
8/1/2019,130073
9/1/2019,130262
